id,created_at,updated_at,reference_id,title,author,url,hostname,description,crawled_at,published_at,categories,stocks,classes,indices,stock_names,summary,companies,sentiment
tweet_id:1635255188633288704,2023-03-13T12:23:13.000Z,,,"Disclaimer

SEBI GuidelinesNo Directly Indirectly Buy, Sell & HoldNo Tips/AdviceNo PMSThis Twitter Account does not provide any direct and indirect buy, sell & hold recommendations.",@Breakoutrade94,https://x.com/Breakoutrade94/status/1635255188633288704,Breakout/Reversal Charts,True,,,,[],[],[],[],,[],
tweet_id:1800002609287507977,2024-06-10T03:10:39.000Z,,,"Trading आसान है, 

पर Self Control आसान नहीं है । 

जब तक आप अपने perfect setup नही आए बिना ट्रेड करते रहेंगे तब तक आप लॉस करते रहोगे।

और बदनाम यूही Trading को लोग करते है ।#TRADINGPSYCHOLOGY",@Breakoutrade94,https://x.com/Breakoutrade94/status/1800002609287507977,Breakout/Reversal Charts,True,,,,[],[],[],[],,[],
tweet_id:1799748623934374247,2024-06-09T10:21:24.000Z,,,#TelegramSHORT TERM TRADING SET-UP IDEABREAKOUTSOON STOCK IDEA   STRONG REVERSAL STOCK You can join my telegram channelhttps://telegram.me/Breakout_charts94…,@Breakoutrade94,https://x.com/Breakoutrade94/status/1799748623934374247,Breakout/Reversal Charts,True,,,,[],[],[],[],,[],
tweet_id:1799748623934374247,2024-06-09T10:21:24.000Z,,,#TelegramSHORT TERM TRADING SET-UP IDEABREAKOUTSOON STOCK IDEA   STRONG REVERSAL STOCK You can join my telegram channelhttps://telegram.me/Breakout_charts94…,@Breakoutrade94,https://x.com/Breakoutrade94/status/1799748623934374247,Breakout/Reversal Charts,True,,,,[],[],[],[],,[],
tweet_id:1799706166454538410,2024-06-09T07:32:41.000Z,,,"Multi year Breakout stock  

1. #NCC 16 + YEAR BREAKOUT CMP  324 

Target  380 & 450 +

2.NELCAST 16 YEAR BREAKOUT + RETEST DONE  ",@Breakoutrade94,https://x.com/Breakoutrade94/status/1799706166454538410,Breakout/Reversal Charts,True,,,,[],[],[],[],,[],
tweet_id:1799653170874138775,2024-06-09T04:02:06.000Z,,,"Today I will post 10 multi-year breakout stocks  and also mention their short term targets.

Like  & retweet for more reach .",@Breakoutrade94,https://x.com/Breakoutrade94/status/1799653170874138775,Breakout/Reversal Charts,True,,,,[],[],[],[],,[],
tweet_id:1799628296935854080,2024-06-09T02:23:16.000Z,,,"Chart in focus #ZENSARTECH#ASHOKA#NCC#AVANTIFEED #RALLIS 

Which stock on your radar/portfolio?",@Breakoutrade94,https://x.com/Breakoutrade94/status/1799628296935854080,Breakout/Reversal Charts,True,,,,[],[],[],[],,[],
tweet_id:1799426600267907360,2024-06-08T13:01:47.000Z,,,"#LEMERITEEXPORT 

( Weekly chart)

Strong weekly IPO base breakout stock  

Strong bullis momentum set-up 

Upside probability  149, 200+

Weakness below 85 weekly close basis ",@Breakoutrade94,https://x.com/Breakoutrade94/status/1799426600267907360,Breakout/Reversal Charts,True,,,,[],[],[],[],,[],
tweet_id:1799123446561124603,2024-06-07T16:57:10.000Z,,,Tomorrow I will update strong weekly / monthly breakout & breakoutsoon stock  in my free telegram group -,@Breakoutrade94,https://x.com/Breakoutrade94/status/1799123446561124603,Breakout/Reversal Charts,True,,,,[],[],[],[],,[],
tweet_id:1798738892813918445,2024-06-06T15:29:05.000Z,,,Which stock on your radar for swing trading ?#swingtrading,@Breakoutrade94,https://x.com/Breakoutrade94/status/1798738892813918445,Breakout/Reversal Charts,True,,,,[],[],[],[],,[],
